key,translation,locale
catalog.no-results,Keine Ergebnisse.,de_DE
product.filter.category,Kategorien,de_DE
product.filter.category,Categories,en_US
product.filter.price,Preis,de_DE
product.filter.price,Price,en_US
product.filter.rating,Ratings,en_US
product.filter.rating,Bewertungen,de_DE
shipment.dhl,DHL,de_DE
shipment.dhl,DHL,en_US
shipment.dhl.paket.name,Paket,de_DE
shipment.dhl.paket.name,Package,en_US
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",de_DE
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",en_US
shipment.dhl.express.name,Express,de_DE
shipment.dhl.express.name,Express,en_US
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",de_DE
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",en_US
shipment.dpd,DPD,de_DE
shipment.dpd,DPD,en_US
shipment.hermes,Hermes,de_DE
shipment.hermes,Hermes,en_US
customer.first_name,Vorname,de_DE
customer.first_name,First Name,en_US
customer.last_name,Nachname,de_DE
customer.last_name,Last Name,en_US
customer.salutation.mr,Herr,de_DE
customer.salutation.mr,Mr.,en_US
customer.salutation.divers,Divers,de_DE
customer.salutation.divers,Various,en_US
customer.salutation.mrs,Divers,en_US
customer.salutation.ms,Frau,de_DE
customer.salutation.ms,Mrs,en_US
customer.salutation.dr,Dr.,en_US
customer.salutation.dr,Dr.,de_DE
customer.birth_date,Geburtsdatum (TT.MM.JJJJ),de_DE
customer.birth_date,Date of birth (DD.MM.YYYY),en_US
customer.email,E-Mail Adresse,de_DE
customer.email,E-Mail,en_US
customer.phone,Telefonnummer,de_DE
customer.phone,Telephone number,en_US
customer.reset.password.error.already.loggedIn,"Kunde bereits eingeloggt. Bitte logge dich aus, um dein Kundenpasswort zurückzusetzen.",de_DE
customer.reset.password.error.already.loggedIn,Another customer already logged in. Please logout to reset your password.,en_US
payment.prepay,Vorkasse,de_DE
payment.prepay,Prepayment,en_US
payment.paypal,PayPal,de_DE
payment.paypal,PayPal,en_US
payment.creditcard,Kreditkarte,de_DE
payment.creditcard,Credit card,en_US
payment.invoice,Rechnung,de_DE
payment.invoice,Invoice,en_US
address.street,Straße,de_DE
address.street,Street,en_US
address.street_nr,Nummer,de_DE
address.street_nr,Number,en_US
address.city,Stadt,de_DE
address.city,City,en_US
address.zip_code,PLZ,de_DE
address.zip_code,Zip Code,en_US
page.checkout.create_account,Kundenaccout erstellen,de_DE
page.checkout.create_account,Create customer account,en_US
whishlist.whishlist,Merkzettel,de_DE
whishlist.whishlist,Whishlist,en_US
whishlist.remove,Löschen,de_DE
whishlist.remove,Remove,en_US
whishlist.reduce,Reduzieren,de_DE
whishlist.reduce,Reduce,en_US
whishlist.increase,Erhöhen,de_DE
whishlist.increase,Increase,en_US
whishlist.move.to.cart,Zum Einkaufsliste hinzufügen,de_DE
whishlist.move.to.cart,Move to cart,en_US
checkout.thank.you,Vielen Dank,de_DE
checkout.thank.you,Thank you,en_US
checkout.this.is.demoshop,Das ist ein Demoshop,de_DE
checkout.this.is.demoshop,This is a demoshop,en_US
checkout.nothing.will.be.sent,Selbstverständlich wird Ihnen nichts zugesendet!,de_DE
checkout.nothing.will.be.sent,"Therefore, of course, nothing will be sent!",en_US
global.order.ascendent,A-Z,de_DE
global.order.ascendent,A-Z,en_US
global.order.descendent,Z_A,de_DE
global.order.descendent,Z-A,en_US
global.close,Schließen,de_DE
global.close,Close,en_US
global.search,Produkte Suchen,de_DE
global.search,Search,en_US
global.search.results,Suchergebnisse,de_DE
global.search.results,Search Results,en_US
global.search.results.for,Suchergebnisse für,de_DE
global.search.results.for,Search results for,en_US
global.search.spellingSuggestion,Meintest du,de_DE
global.search.spellingSuggestion,Did you mean,en_US
global.search.suggestions,Suchvorschläge,de_DE
global.search.suggestions,Search suggestions,en_US
global.search.suggestion.in_products,Produkte,de_DE
global.search.suggestion.in_products,Products,en_US
global.search.suggestion.in_categories,Kategorien,de_DE
global.search.suggestion.in_categories,Categories,en_US
global.search.suggestion.in_cms,Seiten,de_DE
global.search.suggestion.in_cms,Pages,en_US
global.search.suggestion.no_result,Nichts gefunden…,de_DE
global.search.suggestion.no_result,Nothing found…,en_US
global.search.suggestion.see_all_products,Alle Produkte anzeigen,de_DE
global.search.suggestion.see_all_products,See all products,en_US
global.shop,Globus Abholservice,de_DE
global.shop,Spryker Click&Collect&Delivery Shop,en_US
global.spryker.motto,Qualitäts-Technologie,de_DE
global.spryker.motto,technology with quality,en_US
global.payment_providers,Zahlungsanbieter,de_DE
global.payment_providers,Payment providers,en_US
global.shipment_providers,Lieferanbieter,de_DE
global.shipment_providers,Shipment providers,en_US
global.get_in_touch,Jetzt Kontakt aufnehmen,de_DE
global.get_in_touch,Get in touch,en_US
global.newsletter,Newsletter,de_DE
global.newsletter,Newsletter,en_US
global.categories,Kategorien,de_DE
global.categories,Categories,en_US
global.company,Unternehmen,de_DE
global.company,Company,en_US
global.social,Netzwerke,de_DE
global.social,Social Media,en_US
global.home,Startseite,de_DE
global.home,Home,en_US
global.email.address,E-Mail Adresse,de_DE
global.email.address,Email Address,en_US
global.password,Passwort,de_DE
global.password,Password,en_US
global.permission.failed,Diese Aktion ist nicht erlaubt.,de_DE
The CSRF token is invalid. Please try to resubmit the form.,Diese Aktion ist nicht erlaubt.,de_DE
The CSRF token is invalid. Please try to resubmit the form.,This action is forbidden.,en_US
global.permission.failed,This action is forbidden,en_US
global.recover.password,Passwort vergessen,de_DE
global.recover.password,Recover Password,en_US
