categoryIdStibo|parentIdCategoryStibo|name|metatitle|metadescription
cls_de_cc_E71100|cls_de_cc_E70000|Mixer|"Mixer bei Globus | Alle Angebote zeigen"|Mixer ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Alles und mehr bei Globus!
cls_de_cc_E71200|cls_de_cc_E70000|Raclette & Fondue|"Raclette & Fondue bei Globus | Mehr erfahren"|Raclette & Fondue ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E71300|cls_de_cc_E70000|Tee- & Kaffeegeräte|"Tee- & Kaffeegeräte bei Globus | Jetzt informieren!"|Tee- & Kaffeegeräte ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E71400|cls_de_cc_E70000|Küchenwaagen|"Küchenwaagen bei Globus | Klicken & entdecken!"|Küchenwaagen ⮞ Breite Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E71500|cls_de_cc_E70000|Tischgrills|"Tischgrills bei Globus | Schauen Sie vorbei!"|Tischgrills ⮞ Viel Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Alles und mehr bei Globus!
cls_de_cc_E71600|cls_de_cc_E70000|Toaster|"Toaster bei Globus | Alle Angebote zeigen"|Toaster ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E71700|cls_de_cc_E70000|Waffel- & Crepesmaker|"Waffel- & Crepesmaker bei Globus | Jetzt ansehen"|Waffel- & Crepesmaker ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E71800|cls_de_cc_E70000|Wasserkocher|"Wasserkocher bei Globus | Schauen Sie vorbei!"|Wasserkocher ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E71900|cls_de_cc_E70000|Wassersprudler|"Wassersprudler bei Globus | Suchen und Finden"|Wassersprudler ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E72000|cls_de_cc_E70000|Zitruspressen|"Zitruspressen bei Globus | Jetzt ansehen"|Zitruspressen ⮞ Breite Auswahl in der Kategorie Küchengeräte ✓ Umtausch Garantie ✓ Beste Preise ✓ Jetzt zu Globus!
cls_de_cc_E72100|cls_de_cc_E70000|Küchengeräte|"Küchengeräte bei Globus | Schauen Sie vorbei!"|Küchengeräte ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E72200|cls_de_cc_E70000|Folienschweißgerät|"Folienschweißgerät bei Globus | Alle Angebote zeigen"|Folienschweißgerät ⮞ Breite Auswahl in der Kategorie Küchengeräte ✓ Umtausch Garantie ✓ Beste Preise ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E72300|cls_de_cc_E70000|Sandwich-Maker|"Sandwich-Maker bei Globus | Mehr erfahren"|Sandwich-Maker ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ Umtausch Garantie ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E72400|cls_de_cc_E70000|Brotbackautomaten|"Brotbackautomaten bei Globus | Klicken & entdecken!"|Brotbackautomaten ⮞ Viel Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E72500|cls_de_cc_E70000|Kochplatten|"Kochplatten bei Globus | Suchen und Finden"|Kochplatten ⮞ Umfangreiche Auswahl in der Kategorie Küchengeräte ✓ Umtausch Garantie ✓ Top Marken ✓ Jetzt Globus erleben!
cls_de_cc_E80000|cls_de_cc_E00000|Unterhaltungselektronik|"Unterhaltungselektronik bei Globus | Mehr erfahren"|Unterhaltungselektronik ⮞ Umfangreiche Auswahl in der Kategorie Elektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E80100|cls_de_cc_E80000|Festnetz & Internet|"Festnetz & Internet bei Globus | Alle Angebote zeigen"|Festnetz & Internet ⮞ Große Auswahl in der Kategorie Unterhaltungselektronik ✓ Umtausch Garantie ✓ Beste Preise ✓ Jetzt auf die Globus-Einkaufsliste setzen!
cls_de_cc_E80200|cls_de_cc_E80000|Foto & Camcorder|"Foto & Camcorder bei Globus | Jetzt stöbern & entdecken!"|Foto & Camcorder ⮞ Große Auswahl in der Kategorie Unterhaltungselektronik ✓ Umtausch Garantie ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E80300|cls_de_cc_E80000|Kabel & Elektro-Zubehör|"Kabel & Elektro-Zubehör bei Globus | Alle Angebote zeigen"|Kabel & Elektro-Zubehör ⮞ Große Auswahl in der Kategorie Unterhaltungselektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E80400|cls_de_cc_E80000|Computerzubehör|"Computerzubehör bei Globus | Alle Angebote zeigen"|Computerzubehör ⮞ Große Auswahl in der Kategorie Unterhaltungselektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E80500|cls_de_cc_E80000|SmartHome|"SmartHome bei Globus | Alle Produkte ansehen"|SmartHome ⮞ Umfangreiche Auswahl in der Kategorie Unterhaltungselektronik ✓ Umtausch Garantie ✓ Beste Qualität ✓ Jetzt Globus erleben!
cls_de_cc_E80600|cls_de_cc_E80000|Smartphonezubehör|"Smartphonezubehör bei Globus | Jetzt ansehen"|Smartphonezubehör ⮞ Breite Auswahl in der Kategorie Unterhaltungselektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Alles und mehr bei Globus!
cls_de_cc_E80700|cls_de_cc_E80000|TV & Audio|"TV & Audio bei Globus | Zu unserem Sortiment"|TV & Audio ⮞ Große Auswahl in der Kategorie Unterhaltungselektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E80800|cls_de_cc_E80000|Konsolen & Zubehör|"Konsolen & Zubehör bei Globus | Klicken & entdecken!"|Konsolen & Zubehör ⮞ Interessante Auswahl in der Kategorie Unterhaltungselektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E90000|cls_de_cc_E00000|Lampen & Leuchten|"Lampen & Leuchten bei Globus | Jetzt ansehen"|Lampen & Leuchten ⮞ Breite Auswahl in der Kategorie Elektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E90100|cls_de_cc_E90000|Innenleuchten|"Innenleuchten bei Globus | Mehr erfahren"|Innenleuchten ⮞ Riesige Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Top Marken ✓ Alles und mehr bei Globus!
cls_de_cc_E90200|cls_de_cc_E90000|Außenleuchten|"Außenleuchten bei Globus | Jetzt ansehen"|Außenleuchten ⮞ Umfangreiche Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E90300|cls_de_cc_E90000|Taschenlampen|"Taschenlampen bei Globus | Zu unserem Sortiment"|Taschenlampen ⮞ Große Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Top Marken ✓ Alles und mehr bei Globus!
cls_de_cc_E90400|cls_de_cc_E90000|Leuchtmittel|"Leuchtmittel bei Globus | Mehr erfahren"|Leuchtmittel ⮞ Breite Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E90500|cls_de_cc_E90000|Steckdosen|"Steckdosen bei Globus | Mehr erfahren"|Steckdosen ⮞ Interessante Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E90600|cls_de_cc_E90000|Sonstige Leuchten|"Sonstige Leuchten bei Globus | Jetzt informieren!"|Sonstige Leuchten ⮞ Viel Auswahl in der Kategorie Lampen & Leuchten ✓ Umtausch Garantie ✓ Beste Qualität ✓ Jetzt Globus erleben!
cls_de_cc_T00000|cls_pim_de_cus_class|Textil & Schmuck|"Textil & Schmuck bei Globus | Jetzt stöbern & entdecken!"|Ob für Groß oder Klein –  Bei uns finden Sie eine große Auswahl an Uhren, Schmuck, Kleidung und Schuhen von bester Qualität!
cls_de_cc_T10000|cls_de_cc_T00000|Herrentextilien|"Herrentextilien bei Globus | Mehr erfahren"|Herrentextilien ⮞ Große Auswahl in der Kategorie Textil & Schmuck ✓ Mode für Groß & Klein ✓ Top Marken ✓ Jetzt Globus erleben!
cls_de_cc_T10100|cls_de_cc_T10000|Herren-Bekleidung|"Herren-Bekleidung bei Globus | Suchen und Finden"|Herren-Bekleidung ⮞ Interessante Auswahl in der Kategorie Herrentextilien ✓ Mode für Groß & Klein ✓ Top Marken ✓ Alles und mehr bei Globus!
cls_de_cc_T10200|cls_de_cc_T10000|Herren-Wäsche|"Herren-Wäsche bei Globus | Jetzt informieren!"|Herren-Wäsche ⮞ Breite Auswahl in der Kategorie Herrentextilien ✓ Mode für Groß & Klein ✓ Top Marken ✓ Alles und mehr bei Globus!
