Facet;FacetValue;URL
1001;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/100% džusy";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/100%-džusy
1002;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/Fresh džusy";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/fresh-džusy
1003;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/Mošty";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/mošty
1004;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/Nektary";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/nektary
1005;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/Ovocné nápoje";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/ovocné-nápoje
1006;"Nápoje/Nealkoholické nápoje/Džusy a ovocné šťávy/Smoothie";/cz/nápoje/nealkoholické-nápoje/džusy-a-ovocné-šťávy/smoothie
1007;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Nože, stojany a brousky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/nože,-stojany-a-brousky
1008;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Prkénka a krájecí desky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/prkénka-a-krájecí-desky
1009;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Otvíráky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/otvíráky
1010;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Mlýnky, struhadla a škrabky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/mlýnky,-struhadla-a-škrabky
1011;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Vařečky a naběračky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/vařečky-a-naběračky
1012;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Síta, cedníky a trychtýře";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/síta,-cedníky-a-trychtýře
1013;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Rukavice a chňapky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/rukavice-a-chňapky
1014;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Ostatní kuchyňské pomůcky";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/ostatní-kuchyňské-pomůcky
1015;"Domácnost a zahrada/Kuchyňské potřeby/Kuchyňské nářadí a pomůcky/Vážení a měření";/cz/domácnost-a-zahrada/kuchyňské-potřeby/kuchyňské-nářadí-a-pomůcky/vážení-a-měření
1021;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Stropní svítidla";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/stropní-svítidla
1022;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Stojací lampy";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/stojací-lampy
1023;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Stolní lampy";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/stolní-lampy
1024;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/LED osvětlení";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/led-osvětlení
1486;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Prodlužovací kabely";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/prodlužovací-kabely
1487;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Elektroinstalace";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/elektroinstalace
